stock_and_year,roi_bot,roi_std,bot-std
oanda-NAS100_USD-2005,5.6344,1.37713,4.25727
oanda-NAS100_USD-2006,7.00766,6.731,0.276658
oanda-NAS100_USD-2007,21.1302,18.049,3.08114
oanda-NAS100_USD-2013,32.9706,36.2177,-3.2471
oanda-NAS100_USD-2010,22.9297,18.9296,4.00004
oanda-NAS100_USD-2012,15.1564,13.4766,1.67977
oanda-NAS100_USD-2011,7.0121,2.5054,4.5067
oanda-NAS100_USD-2014,19.4002,19.5043,-0.104156
oanda-NAS100_USD-2015,13.9201,9.08834,4.83178
oanda-NAS100_USD-2016,10.2811,5.79832,4.48275
oanda-NATGAS_USD-2005,1341.29,90.6997,1250.59
oanda-NATGAS_USD-2006,-37.8549,-42.0469,4.19199
oanda-NATGAS_USD-2013,56.5534,32.5407,24.0127
oanda-NATGAS_USD-2012,46.7273,12.3009,34.4264
oanda-NATGAS_USD-2011,-12.8793,-33.961,21.0817
oanda-NATGAS_USD-2009,9.28652,1.34668,7.93985
oanda-NATGAS_USD-2010,-17.8707,-24.3487,6.47808
oanda-NATGAS_USD-2014,-12.0515,-30.8642,18.8127
oanda-NAS100_USD-2017,20.2559,30.2422,-9.98629
oanda-NAS100_USD-2018,4.27735,-0.901466,5.17882
oanda-NATGAS_USD-2017,-8.95039,-14.8256,5.87519
oanda-NATGAS_USD-2015,-10.7611,-20.6688,9.9077
oanda-NATGAS_USD-2016,177.16,61.9842,115.176
oanda-NATGAS_USD-2018,214.501,-1.31579,215.817
oanda-SPX500_USD-2005,5.19527,3.06586,2.12941
oanda-SPX500_USD-2006,15.5613,13.3152,2.24604
oanda-SPX500_USD-2007,6.48841,2.81324,3.67517
oanda-SPX500_USD-2012,14.9452,10.0491,4.89608
oanda-SPX500_USD-2010,14.2873,12.7079,1.57934
oanda-SPX500_USD-2011,1.39731,-0.126912,1.52422
oanda-UK100_GBP-2005,12.636,16.3762,-3.74025
oanda-UK100_GBP-2006,9.48469,10.0332,-0.548486
oanda-UK100_GBP-2007,7.86585,2.91289,4.95296
oanda-SPX500_USD-2017,13.2965,18.6049,-5.30835
oanda-UK100_GBP-2010,13.6851,9.62342,4.06172
oanda-SPX500_USD-2013,25.9172,30.8586,-4.9414
oanda-SPX500_USD-2014,17.4093,12.7472,4.66206
oanda-SPX500_USD-2016,11.6561,9.56249,2.09359
oanda-SPX500_USD-2015,4.15085,-0.0583067,4.20916
oanda-SPX500_USD-2018,-6.25312,-6.25234,-0.000783443
oanda-US2000_USD-2005,6.01,2.68395,3.32605
oanda-US2000_USD-2006,20.0083,16.8273,3.18095
oanda-UK100_GBP-2013,10.6169,13.9551,-3.33819
oanda-UK100_GBP-2014,-0.645031,-2.92152,2.27648
oanda-UK100_GBP-2012,7.95235,4.30264,3.64971
oanda-UK100_GBP-2011,-3.38667,-6.57349,3.18682
oanda-UK100_GBP-2015,-1.48896,-5.34043,3.85148
oanda-UK100_GBP-2017,6.25504,7.90167,-1.64664
oanda-UK100_GBP-2018,-3.99343,-9.85295,5.85951
oanda-UK100_GBP-2016,21.4735,14.21,7.26357
oanda-US2000_USD-2007,2.29833,-3.37133,5.66966
oanda-US2000_USD-2010,25.1691,24.7404,0.428621
oanda-US2000_USD-2012,16.8274,12.2772,4.55017
oanda-US2000_USD-2011,-3.99957,-5.93167,1.9321
oanda-US2000_USD-2013,36.1674,35.447,0.720436
oanda-US2000_USD-2014,8.5102,5.13626,3.37394
oanda-US2000_USD-2015,-0.500787,-5.11218,4.61139
oanda-US2000_USD-2017,13.4892,12.173,1.31628
oanda-US2000_USD-2016,21.3585,19.298,2.06053
oanda-US2000_USD-2018,-10.3543,-12.275,1.92062
